path,max_daily_liquidations,max_daily_liq_volume,max_oas_bps,min_liquidity,max_drawdown,emergency_days,oracle_stale_gap
320,0.0,0.0,89.96813067137025,0.8000796733215744,-0.04652835910671993,0,0
321,0.0,0.0,89.6037174946761,0.8009907062633097,-0.10022489389402911,0,0
322,0.0,0.0,83.73531451355254,0.8156617137161186,-0.0366634897820991,0,0
323,0.0,0.0,80.76649158706662,0.8230837710323334,-0.03564006246459528,0,0
324,0.0,0.0,82.82349380984112,0.8179412654753971,-0.02545635288196768,0,0
325,0.0,0.0,97.17764669514791,0.7820558832621302,-0.06984040331760022,0,0
326,0.0,0.0,90.32271853550263,0.7991932036612434,-0.03734772101541206,0,0
327,0.0,0.0,117.65507397681598,0.7308623150579601,-0.07306494118381679,0,0
328,0.0,0.0,86.52648774678818,0.8086837806330296,-0.04222424151070758,0,0
329,0.0,0.0,77.86101012279433,0.8303474746930142,-0.04068562083960925,0,0
330,250.0,2024344.2229786762,500.0,0.05,-0.07148659245843669,0,0
331,0.0,0.0,91.78762600767195,0.7955309349808202,-0.031187130736997304,0,0
332,0.0,0.0,95.50930485013475,0.7862267378746631,-0.051478570483991404,0,0
333,0.0,0.0,78.604747436922,0.828488131407695,-0.03832414577290244,0,0
334,250.0,2024344.2229786762,500.0,0.05,-0.04098074243059113,0,1
335,0.0,0.0,89.59108372467982,0.8010222906883004,-0.032904296517004106,0,0
336,250.0,2024344.2229786762,500.0,0.05,-0.0454631177930378,0,1
337,0.0,0.0,86.92165854374858,0.8076958536406286,-0.06791602196824897,0,0
338,250.0,2024344.2229786762,500.0,0.05,-0.03927749484611587,0,1
339,0.0,0.0,92.3217406900756,0.7941956482748109,-0.030386266472417156,0,0
340,250.0,2024344.2229786762,500.0,0.05,-0.04892901799977434,0,1
341,0.0,0.0,89.67849223395034,0.8008037694151241,-0.08946516619704759,0,0
342,0.0,0.0,108.7817127105085,0.7530457182237287,-0.040234520369323956,0,0
343,0.0,0.0,79.06577758585715,0.8273355560353571,-0.04460027547670431,0,0
344,0.0,0.0,80.67525527537293,0.8233118618115677,-0.047026387767885036,0,0
345,0.0,0.0,93.94034746925641,0.7901491313268589,-0.03911712182273486,0,0
346,0.0,0.0,82.10098521564953,0.8197475369608761,-0.08597170797931886,0,0
347,0.0,0.0,93.85363462531055,0.7903659134367236,-0.031156887877932693,0,0
348,0.0,0.0,99.56055201104796,0.77609861997238,-0.06444857416283711,0,0
349,250.0,2024344.2229786762,500.0,0.05,-0.043734103933690927,0,1
350,0.0,0.0,85.50916434172345,0.8112270891456914,-0.05327805392726137,0,0
351,0.0,0.0,84.80968021334242,0.8129757994666439,-0.036537447800189415,0,0
352,0.0,0.0,101.5558799517227,0.7711103001206933,-0.02643679772790075,0,0
353,0.0,0.0,81.81780553436273,0.8204554861640931,-0.04446980469406869,0,0
354,0.0,0.0,90.96596523882302,0.7975850869029424,-0.022530552737772935,0,0
355,0.0,0.0,83.9240710324482,0.8151898224188795,-0.03211509892121034,0,0
356,0.0,0.0,77.62607389265612,0.8309348152683597,-0.039450227503546764,0,0
357,0.0,0.0,91.49387016431388,0.7962653245892153,-0.040170385553689125,0,0
358,0.0,0.0,73.84362898151308,0.8403909275462172,-0.04088298308576954,0,0
359,0.0,0.0,90.71438890343829,0.7982140277414043,-0.029519331297046092,0,0
360,0.0,0.0,90.15535280431548,0.7996116179892112,-0.04774875981069027,0,0
361,250.0,2024344.2229786762,500.0,0.05,-0.040130451111321186,0,1
362,250.0,2024344.2229786762,500.0,0.05,-0.034353270950196135,0,1
363,250.0,2024344.2229786762,500.0,0.05,-0.038376687304196966,0,1
364,0.0,0.0,88.02518866136776,0.8049370283465805,-0.06388942125706121,0,0
365,0.0,0.0,95.48918263834754,0.7862770434041311,-0.02550816839879244,0,0
366,0.0,0.0,92.08689573092016,0.7947827606726996,-0.0567396777451471,0,0
367,0.0,0.0,90.99932337990576,0.7975016915502355,-0.041979563916611506,0,0
368,0.0,0.0,96.04453546383851,0.7848886613404037,-0.0523255630903684,0,0
369,250.0,2024344.2229786762,500.0,0.05,-0.10697226208097776,0,0
